LAST SEEN   TYPE      REASON                         OBJECT                                 MESSAGE
29m         Normal    Pulled                         pod/load-generator                     Container image "busybox:1.36" already present on machine
28m         Normal    Created                        pod/load-generator                     Created container: load-generator
28m         Normal    Started                        pod/load-generator                     Started container load-generator
28m         Normal    ScalingReplicaSet              deployment/php-apache                  Scaled up replica set php-apache-6f9b6b7987 from 1 to 4
28m         Normal    SuccessfulRescale              horizontalpodautoscaler/php-apache     New size: 4; reason: cpu resource utilization (percentage of request) above target
28m         Normal    SuccessfulCreate               replicaset/php-apache-6f9b6b7987       Created pod: php-apache-6f9b6b7987-6vj8c
28m         Normal    SuccessfulCreate               replicaset/php-apache-6f9b6b7987       Created pod: php-apache-6f9b6b7987-w9vl5
28m         Normal    SuccessfulCreate               replicaset/php-apache-6f9b6b7987       Created pod: php-apache-6f9b6b7987-dlt76
28m         Normal    Pulling                        pod/php-apache-6f9b6b7987-w9vl5        Pulling image "registry.k8s.io/hpa-example"
28m         Normal    Pulling                        pod/php-apache-6f9b6b7987-6vj8c        Pulling image "registry.k8s.io/hpa-example"
28m         Normal    Pulling                        pod/php-apache-6f9b6b7987-dlt76        Pulling image "registry.k8s.io/hpa-example"
28m         Normal    Pulled                         pod/php-apache-6f9b6b7987-w9vl5        Successfully pulled image "registry.k8s.io/hpa-example" in 5.622s (5.623s including waiting). Image size: 164030864 bytes.
28m         Normal    Created                        pod/php-apache-6f9b6b7987-w9vl5        Created container: php-apache
28m         Normal    Started                        pod/php-apache-6f9b6b7987-w9vl5        Started container php-apache
28m         Normal    Pulled                         pod/php-apache-6f9b6b7987-dlt76        Successfully pulled image "registry.k8s.io/hpa-example" in 5.672s (10.072s including waiting). Image size: 164030864 bytes.
28m         Normal    SuccessfulRescale              horizontalpodautoscaler/php-apache     New size: 5; reason: cpu resource utilization (percentage of request) above target
28m         Normal    ScalingReplicaSet              deployment/php-apache                  Scaled up replica set php-apache-6f9b6b7987 from 4 to 5
28m         Normal    SuccessfulCreate               replicaset/php-apache-6f9b6b7987       Created pod: php-apache-6f9b6b7987-fcrcs
28m         Normal    Created                        pod/php-apache-6f9b6b7987-dlt76        Created container: php-apache
28m         Normal    Started                        pod/php-apache-6f9b6b7987-dlt76        Started container php-apache
28m         Normal    Pulling                        pod/php-apache-6f9b6b7987-fcrcs        Pulling image "registry.k8s.io/hpa-example"
28m         Normal    Pulled                         pod/php-apache-6f9b6b7987-6vj8c        Successfully pulled image "registry.k8s.io/hpa-example" in 7.453s (17.359s including waiting). Image size: 164030864 bytes.
28m         Normal    Created                        pod/php-apache-6f9b6b7987-6vj8c        Created container: php-apache
28m         Normal    Started                        pod/php-apache-6f9b6b7987-6vj8c        Started container php-apache
27m         Normal    Pulled                         pod/php-apache-6f9b6b7987-fcrcs        Successfully pulled image "registry.k8s.io/hpa-example" in 3.723s (4.218s including waiting). Image size: 164030864 bytes.
27m         Normal    Created                        pod/php-apache-6f9b6b7987-fcrcs        Created container: php-apache
27m         Normal    Started                        pod/php-apache-6f9b6b7987-fcrcs        Started container php-apache
